,Municipios,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007 (5),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Coslada,4553030,0,5316843,5500311,5934292,6079393,6120068,5496045,5032079,5339394,5409434,5311071,5377938,5530702,5793945,5831410,5850192,6040065,5956625,6154342,6014179,5616957,5550478,5289682,5047271,4732211,5509191,4562098,4878544,4618867,4735166,4674125,4718668,4523691,4525370,4562960,4353926
61,Cubas de la Sagra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84512,293737,293789,320596,332940,358652,332933,400832,358732,346349,359363,416385,390292,401151,382176,413101,416366,416036
62,Daganzo de Arriba,0,0,0,0,0,0,0,0,63925,119735,142755,161804,181641,221371,272051,309841,369603,448431,511427,545616,641092,578924,650808,640207,734899,639815,625461,699913,548464,633304,662722,689826,713952,700942,732069,709231,689416
63,Escorial (El),1061258,0,1264353,1249328,1424678,1487440,1449495,1450349,1510569,1577309,1986592,1604063,1392802,1383187,1486252,1245943,1447406,1473442,1554744,1533298,1669242,1505097,1508615,1403584,1486474,1390554,1521856,1423693,1317839,1284489,1361112,1352340,1414464,1300361,1502221,1425834,1400771
64,Estremera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66055,55798,56688,60481,62624,63981,60568,68488,67262,140420,149885,224029,256199,233989,221863,202646,187863,181352,179120,200221,179337,202664
65,Fresnedillas de la Oliva,132700,0,110385,117070,146100,132720,159929,159277,139704,139627,143903,96853,87373,89204,97635,101122,90392,101543,112117,112808,105996,104843,111714,111789,124153,102330,116386,131490,107863,109420,115255,117384,118697,106817,117431,132722,126180
66,Fresno de Torote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22477,27575,34207,53323,59270,86741,81716,95087,87484,103784,94367,91265,98665,75622,78644,83633,92389,95263,97542,93017,96616,101163
67,Fuenlabrada,4770121,5250359,11068577,7297719,9078530,9366396,10062950,11256040,10637851,10706818,10768436,11079803,12327252,13826045,14766284,14444264,15233468,15963794,15656023,15484075,15844326,16606317,16520855,15433326,15103879,14238346,13224115,10919058,10940928,10654047,10592212,10828518,10855109,10374894,10738583,10775347,10424251
68,Fuente el Saz de Jarama,0,0,0,0,0,0,0,157061,174167,185114,188465,189327,252379,205536,255538,285693,352519,373740,409876,411059,444963,380195,394087,380808,363579,422251,375356,357107,364266,364525,377885,368898,378429,380366,390931,406404,419560
69,Fuentidueña de Tajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96231,98659,103539,116804,111521,136379,132101,125315,145350,132684,110126,117651,122973,115087,110878,108483,107382,115788,114270,175341,173021,179983
70,Galapagar,1263372,0,1691159,1277475,1895447,1649121,1875939,1091274,1702580,2123625,2292919,2407185,2430531,2592152,2779941,2883785,3028509,3083021,3307739,3068180,3559171,3016738,3099879,3224090,3143530,3051532,2936084,2809981,2675478,2669885,2749510,2707351,2810900,2579219,2927613,2811812,2783600
71,Garganta de los Montes,8103,21782,5456,12693,6386,20518,32675,45283,51993,55386,71285,55530,57356,52868,58441,63117,55734,51862,56342,59056,52436,53674,59323,59769,65882,66318,84743,43085,60030,39608,36871,39654,41076,39936,42136,47324,53019
72,Gargantilla del Lozoya y Pinilla de Buitrago,182095,122180,104069,57915,52876,58236,45116,54583,59083,73982,78931,65039,67208,68547,72149,75033,77817,74178,78944,75612,81932,71134,70497,67683,79191,75989,76245,74352,70170,71949,75664,75650,79707,74332,93156,90376,94112
73,Gascones,29466,33547,38457,58306,44906,49146,63966,73809,68934,76673,67620,79548,77047,122938,102269,103683,134296,121527,119287,-891306,25518,19494,20162,16966,18481,17830,17571,15555,14614,15977,14544,15615,16734,14526,19570,17384,18442
74,Getafe,8289123,8471997,9907121,10059953,10876063,11113903,11180794,10845464,9830464,10120515,10209173,10074405,10280930,10565262,10875717,11177602,11667694,11623028,11619192,11365316,11728962,10700703,10910585,10891658,10408592,11774543,10392363,10388081,10421130,10564858,11087402,11231627,11605580,11304694,11845669,11560238,12028407
75,Griñón,0,0,31924,5091,0,2613,1278,0,38,0,0,0,0,91850,0,72734,486701,662271,758466,752546,810872,801250,823409,760828,790614,725026,829792,736490,697274,711665,744177,772276,791937,800422,840183,813616,849557
76,Guadalix de la Sierra,26292,16991,6042,364,4283,391,27514,100553,52336,82387,113143,136622,342732,250360,529903,461487,491403,524318,614230,559300,538963,449535,527764,481183,477860,473955,586355,515339,384624,383517,398451,397593,420345,383172,423246,442799,438504
77,Guadarrama,1175686,0,1500171,759563,1015244,1349641,1303205,1140376,974721,1257156,1286037,1207076,1200216,1317567,1915384,2092857,2059085,1807124,2139695,2282387,2740053,2203090,2151179,1993180,1900829,1438446,1589269,1639967,1547745,1520719,1627423,1261988,1511284,1352750,1153732,1454572,1493801
78,Hiruela (La),0,0,0,0,0,0,0,0,822,2513,2678,2293,2269,0,0,0,0,691,2700,4250,2445,2475,2763,3568,2993,2654,3137,2637,2483,2678,2998,3387,2842,2924,2518,4053,4140
79,Horcajo de la Sierra-Aoslos,0,0,0,0,0,0,9365,0,8131,11520,16781,21771,19676,9201,23309,22536,25439,22343,21468,23340,27152,20874,23419,22250,20835,19700,19074,19118,15440,15745,18082,17795,17598,17657,17882,18607,18408
80,Horcajuelo de la Sierra,0,0,0,0,0,0,0,0,478,6543,7638,7640,7809,0,0,0,0,0,0,7126,8101,7357,8267,8196,6893,7128,8181,6997,6893,7277,8560,8347,8368,7873,7770,9109,9293
81,Hoyo de Manzanares,1011957,0,1210550,1263594,1190673,1172365,1107878,1267961,841914,979638,983790,980263,917196,1002658,1005736,1034258,1009922,991068,1097136,1089861,1014695,975660,929762,909369,1037664,945539,918139,741328,721526,683541,784617,789419,838439,744207,861259,844979,847801
82,Humanes de Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596296,683729,778722,877031,925511,1025106,1077203,1213790,1323856,1138360,1050070,1073909,1248357,1052083,1158046,1185974,1150080,1157520,1110448,1148674,1142702,1157911
83,Leganés,8521876,0,9463683,9635798,10540569,11059551,11094029,10974806,10183048,10507129,10213215,10284234,10506906,10871590,11163864,11271905,11596022,11404579,11491026,11277333,11884333,10714772,10899604,10654664,10181025,11642885,9944833,9494619,9955868,9740961,9924725,10044099,10118595,9886729,10281929,10268262,10180064
